time	EMPTY_DRIVE	PICKUP	OCCUPIED_DRIVE	DROPOFF	STAY	UNPLANNED
00:00	0.0	0.0	0.0	0.0	0.0	0.0
00:05	0.0	0.0	0.0	0.0	5000.0	0.0
00:10	0.0	0.0	0.0	0.0	5000.0	0.0
00:15	0.0	0.0	0.0	0.0	5000.0	0.0
00:20	0.0	0.0	0.0	0.0	5000.0	0.0
00:25	0.0	0.0	0.0	0.0	5000.0	0.0
00:30	0.0	0.0	0.0	0.0	5000.0	0.0
00:35	0.0	0.0	0.0	0.0	5000.0	0.0
00:40	0.0	0.0	0.0	0.0	5000.0	0.0
00:45	0.0	0.0	0.0	0.0	5000.0	0.0
00:50	0.0	0.0	0.0	0.0	5000.0	0.0
00:55	0.0	0.0	0.0	0.0	5000.0	0.0
01:00	0.0	0.0	0.0	0.0	5000.0	0.0
01:05	0.0	0.0	0.0	0.0	5000.0	0.0
01:10	0.0	0.0	0.0	0.0	5000.0	0.0
01:15	0.0	0.0	0.0	0.0	5000.0	0.0
01:20	0.0	0.0	0.0	0.0	5000.0	0.0
01:25	0.0	0.0	0.0	0.0	5000.0	0.0
01:30	0.0	0.0	0.0	0.0	5000.0	0.0
01:35	0.0	0.0	0.0	0.0	5000.0	0.0
01:40	0.0	0.0	0.0	0.0	5000.0	0.0
01:45	0.0	0.0	0.0	0.0	5000.0	0.0
01:50	0.0	0.0	0.0	0.0	5000.0	0.0
01:55	0.0	0.0	0.0	0.0	5000.0	0.0
02:00	0.0	0.0	0.0	0.0	5000.0	0.0
02:05	0.0	0.0	0.0	0.0	5000.0	0.0
02:10	0.0	0.0	0.0	0.0	5000.0	0.0
02:15	0.0	0.0	0.0	0.0	5000.0	0.0
02:20	0.0	0.0	0.0	0.0	5000.0	0.0
02:25	0.0	0.0	0.0	0.0	5000.0	0.0
02:30	0.0	0.0	0.0	0.0	5000.0	0.0
02:35	0.0	0.0	0.0	0.0	5000.0	0.0
02:40	0.0	0.0	0.0	0.0	5000.0	0.0
02:45	0.0	0.0	0.0	0.0	5000.0	0.0
02:50	0.0	0.0	0.0	0.0	5000.0	0.0
02:55	0.0	0.0	0.0	0.0	5000.0	0.0
03:00	0.0	0.0	0.0	0.0	5000.0	0.0
03:05	0.0	0.0	0.0	0.0	5000.0	0.0
03:10	0.0	0.0	0.0	0.0	5000.0	0.0
03:15	0.0	0.0	0.0	0.0	5000.0	0.0
03:20	0.0	0.0	0.0	0.0	5000.0	0.0
03:25	0.0	0.0	0.0	0.0	5000.0	0.0
03:30	0.0	0.0	0.0	0.0	5000.0	0.0
03:35	0.0	0.0	0.0	0.0	5000.0	0.0
03:40	0.0	0.0	0.0	0.0	5000.0	0.0
03:45	0.0	0.0	0.0	0.0	5000.0	0.0
03:50	0.0	0.0	0.0	0.0	5000.0	0.0
03:55	0.0	0.0	0.0	0.0	5000.0	0.0
04:00	0.0	0.0	0.0	0.0	5000.0	0.0
04:05	0.0	0.0	0.0	0.0	5000.0	0.0
04:10	0.0	0.0	0.0	0.0	5000.0	0.0
04:15	0.0	0.0	0.0	0.0	5000.0	0.0
04:20	0.0	0.0	0.0	0.0	5000.0	0.0
04:25	0.0	0.0	0.0	0.0	5000.0	0.0
04:30	0.0	0.0	0.0	0.0	5000.0	0.0
04:35	0.0	0.0	0.0	0.0	5000.0	0.0
04:40	0.0	0.0	0.0	0.0	5000.0	0.0
04:45	0.0	0.0	0.0	0.0	5000.0	0.0
04:50	0.0	0.0	0.0	0.0	5000.0	0.0
04:55	0.0	0.0	0.0	0.0	5000.0	0.0
05:00	0.0	0.0	0.0	0.0	5000.0	0.0
05:05	0.0	0.0	0.0	0.0	5000.0	0.0
05:10	0.0	0.0	0.0	0.0	5000.0	0.0
05:15	0.0	0.0	0.0	0.0	5000.0	0.0
05:20	0.0	0.0	0.0	0.0	5000.0	0.0
05:25	0.0	0.0	0.0	0.0	5000.0	0.0
05:30	0.0	0.0	0.0	0.0	5000.0	0.0
05:35	0.0	0.0	0.0	0.0	5000.0	0.0
05:40	0.0	0.0	0.0	0.0	5000.0	0.0
05:45	0.0	0.0	0.0	0.0	5000.0	0.0
05:50	0.0	0.0	0.0	0.0	5000.0	0.0
05:55	0.0	0.0	0.0	0.0	5000.0	0.0
06:00	0.0	0.0	0.0	0.0	5000.0	0.0
06:05	0.0	0.0	0.0	0.0	5000.0	0.0
06:10	0.0	0.0	0.0	0.0	5000.0	0.0
06:15	0.0	0.0	0.0	0.0	5000.0	0.0
06:20	0.0	0.0	0.0	0.0	5000.0	0.0
06:25	0.0	0.0	0.0	0.0	5000.0	0.0
06:30	0.0	0.0	0.0	0.0	5000.0	0.0
06:35	43.0	177.0	72.0	0.0	4708.0	0.0
06:40	101.0	245.0	559.0	12.0	4083.0	1.0
06:45	176.0	282.0	1071.0	42.0	3429.0	2.0
06:50	312.0	268.0	1375.0	86.0	2959.0	4.0
06:55	480.0	297.0	1520.0	99.0	2604.0	4.0
07:00	631.0	271.0	1671.0	121.0	2306.0	2.0
07:05	743.0	314.0	1766.0	134.0	2043.0	2.0
07:10	830.0	354.0	1921.0	111.0	1784.0	0.0
07:15	960.0	344.0	2012.0	162.0	1522.0	2.0
07:20	1068.0	326.0	2092.0	167.0	1347.0	1.0
